AGUA BRANCA;;5172,73
ANADIA;;6495,19
ARAPIRACA;;12984,79
ATALAIA;;7627,53
BARRA DE SANTO ANTONIO;;7197,26
BARRA DE SAO MIGUEL;;14019,72
BATALHA;;6312,94
BELEM;;7044,41
BELO MONTE;;8081,72
BOCA DA MATA;;10064,1
BRANQUINHA;;4601,8
CACIMBINHAS;;5978,14
CAJUEIRO;;5992,05
CAMPESTRE;;7252,83
CAMPO ALEGRE;;5491,7
CAMPO GRANDE;;5781,71
CANAPI;;4222,4
CAPELA;;8466,83
CARNEIROS;;4755,47
CHA PRETA;;5649,12
COITE DO NOIA;;6018,67
COLONIA LEOPOLDINA;;6318,09
COQUEIRO SECO;;7396,66
CORURIPE;;17852,7
CRAIBAS;;4967,87
DELMIRO GOUVEIA;;9370,01
DOIS RIACHOS;;4952,05
ESTRELA DE ALAGOAS;;4389,92
FEIRA GRANDE;;5962,26
FELIZ DESERTO;;21265,68
FLEXEIRAS;;5898,83
GIRAU DO PONCIANO;;5528,11
IBATEGUARA;;6057,25
IGACI;;5889,61
"IGREJA NOVA	";;12089,17
INHAPI;;4817,97
ISIDORO;;6691,86
JACARE DOS HOMENS;;7420,39
JACUIPE;;10248,16
"JAPARATINGA	";;6070,45
JARAMATAIA;;16263,92
JEQUIA DA PRAIA;;4936,81
JOAQUIM GOMES;;7851,16
JUNDIA;;8075,47
JUNQUEIRO;;5756,3
LAGOA DA CANOA;;5591,19
LIMOEIRO DE ANADIA;;16439,48
MACEIO;;6240,78
MAR VERMELHO;;9312,7
MARAGOGI;;5375,48
MARAVILHA;;27504,68
MARECHAL DEODORO;;7410,17
MARIBONDO;;6629,13
MATA GRANDE;;5366,25
MATRIZ DE CAMARAGIBE;;8166,98
MESSIAS;;7001,15
MINADOR DO NEGRAO;;6395,27
MONTEIROPOLIS;;5352,98
MURICI;;6518,99
NOVO LINO;;6319,05
OLHO DAGUA DAS FLORES;;7027,18
OLHO DAGUA DO CASADO;;5656,37
OLHO DAGUA GRANDE;;5638,28
OLIVENCA;;5376,55
OURO BRANCO;;4950,67
PALESTINA;;5554,02
PALMEIRA DOS INDIOS;;8821,68
PAO DE ACUCAR;;6797,12
PARICONHA;;4599,29
PARIPUEIRA;;7546,98
PASSO DE CAMARAGIBE;;8154,34
PAULO JACINTO;;5251,05
PENEDO;;8884,98
PIACABUCU;;7237,4
PILAR;;18292,55
PINDOBA;;8135,19
PIRANHAS;;5686,71
POCO DAS TRINCHEIRAS;;4904,31
PORTO CALVO;;7512,14
PORTO DE PEDRAS;;7992,35
PORTO REAL DO COLEGIO;;5404,7
QUEBRANGULO;;5828,42
RIO LARGO;;8747,44
ROTEIRO;;11860,21
SANTA LUZIA DO NORTE;;7736,52
SANTANA DO IPANEMA;;7069,2
SANTANA DO MUNDAU;;17175,95
SAO BRAS;;5838,54
SAO JOSE DA LAJE;;7691,4
SAO JOSE DA TAPERA;;6374,49
SAO LUIS DO QUITUNDE;;11630,13
SAO MIGUEL DOS CAMPOS;;19744,45
SAO MIGUEL DOS MILAGRES;;13610,72
SAO SEBASTIAO;;7001,41
SATUBA;;7546,97
SENADOR RUI PALMEIRA;;4444,38
TANQUE DARCA;;5552,89
TAQUARANA;;9456,99
TEOTONIO VILELA;;7800,42
TRAIPU;;5171,9
UNIAO DOS PALMARES;;8013,56
VICOSA;;6578,26
